vf,width,thickness,k11,k33,p,t,h
0.45806,0.97506,0.92256,1.37677,0.49554,1,0,0
0.25994,0.27169,0.31519,0.74854,0.23928,1,0,0
0.89631,0.57006,0.87169,1.81322,0.56107,1,0,0
0.04056,0.28681,0.78694,0.52737,0.26907,1,0,0
0.45694,0.47994,0.38731,1.19824,0.30298,1,0,0
0.04981,0.43906,0.24369,0.65851,0.22217,1,0,0
0.20706,0.00006,0.26881,0.44378,0.20482,1,0,0
0.32356,0.09431,0.94844,0.57166,0.29418,1,0,0
0.94706,0.31819,0.97181,1.36043,0.49926,1,0,0
0.95169,0.91481,0.61669,2.45898,0.58653,1,0,0
0.97906,0.82694,0.72194,2.36406,0.61985,1,0,0
0.83631,0.05856,0.57844,0.77232,0.29138,1,0,0
0.08631,0.32169,0.01419,0.61713,0.20473,1,0,0
0.93594,0.11356,0.58331,1.01815,0.33,1,0,0
0.32931,0.85094,0.26531,1.40161,0.29578,1,0,0
0.28419,0.61894,0.59619,1.09752,0.33754,1,0,0
0.44569,0.96744,0.66206,1.52142,0.43402,1,0,0
0.75056,0.01381,0.59919,0.69237,0.27314,1,0,0
0.94481,0.92169,0.43306,2.58335,0.51686,1,0,0
0.19344,0.07556,0.39144,0.49125,0.21911,1,0,0
0.08006,0.05494,0.58681,0.38994,0.22052,1,0,0
0.09381,0.36544,0.69406,0.63778,0.27807,1,0,0
0.94969,0.99931,0.58556,2.51652,0.58093,1,0,0
0.83206,0.02969,0.28331,0.77379,0.2442,1,0,0
0.75669,0.53981,0.86944,1.60153,0.50792,1,0,0
0.90469,0.71256,0.82381,2.03664,0.59607,1,0,0
0.12531,0.97856,0.96269,0.85116,0.39358,1,0,0
0.38994,0.67856,0.87769,1.22179,0.43531,1,0,0
0.24994,0.98181,0.90256,1.06656,0.42506,1,0,0
0.19781,0.60644,0.48681,0.95845,0.29329,1,0,0
0.71369,0.09181,0.95944,0.79828,0.35026,1,0,0
0.01794,0.13106,0.84419,0.41432,0.24799,1,0,0
0.96719,0.18719,0.79756,1.12309,0.39666,1,0,0
0.10669,0.58694,0.81056,0.76561,0.32728,1,0,0
0.33419,0.89681,0.11219,1.45697,0.26981,1,0,0
0.60331,0.01419,0.14619,0.65328,0.21524,1,0,0
0.51781,0.95256,0.49706,1.73751,0.40839,1,0,0
0.37244,0.86431,0.55894,1.39454,0.37838,1,0,0
0.61419,0.74769,0.00394,1.86543,0.29509,1,0,0
0.19519,0.96856,0.27419,1.19916,0.27842,1,0,0
0.02231,0.75219,0.07769,0.80699,0.21858,1,0,0
0.53706,0.03606,0.18931,0.63637,0.21761,1,0,0
0.47494,0.11431,0.77119,0.70386,0.29705,1,0,0
0.34794,0.08406,0.02681,0.60513,0.2046,1,0,0
0.52681,0.85481,0.70931,1.59749,0.46049,1,0,0
0.28681,0.87406,0.13081,1.34892,0.26421,1,0,0
0.18031,0.57869,0.00006,0.95922,0.22571,1,0,0
0.91444,0.92906,0.50406,2.47682,0.53135,1,0,0
0.99869,0.34606,0.74381,1.55996,0.47742,1,0,0
0.41131,0.62981,0.73806,1.26724,0.40096,1,0,0
0.85681,0.58106,0.66769,1.84694,0.49134,1,0,0
0.97106,0.79681,0.65919,2.36737,0.58755,1,0,0
0.10494,0.89069,0.75981,0.89033,0.35389,1,0,0
0.88431,0.21094,0.84956,1.13813,0.40243,1,0,0
0.51106,0.07794,0.10531,0.68559,0.21414,1,0,0
